FIPS,State,County,Year,% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% Children in Poverty
6045,California,Mendocino,2017,16.80776819,4.282321191,4.082562308,5.887788779,27.3
6047,California,Merced,2017,26.87007469,5.025617706,4.165473267,6.587984264,35.9
6049,California,Modoc,2017,16.75426977,4.261601478,4.146218563,6.615384615,31.1
6051,California,Mono,2017,14.3288783,3.665240002,3.672077363,7.772511848,17.3
6053,California,Monterey,2017,22.24583129,4.139367353,3.810090019,5.83785596,22.3
6055,California,Napa,2017,14.10453306,3.46872673,3.41890882,6.226800297,12.1
6057,California,Nevada,2017,12.15711077,3.391268555,3.656990502,5.439404678,16.4
6059,California,Orange,2017,14.96820388,3.520544452,3.48836563,6.416083021,16.8
6061,California,Placer,2017,11.65728089,3.346723215,3.47770157,5.633643165,9
6063,California,Plumas,2017,14.11177611,3.902281189,3.936686112,6.731620904,22.5
6065,California,Riverside,2017,20.16634521,4.072532603,3.908424126,6.526736447,22.6
6067,California,Sacramento,2017,17.06561273,3.78435008,3.88512591,6.795550659,22.7
6069,California,San Benito,2017,17.6775296,3.665291879,3.640777745,6.088454911,14
6071,California,San Bernardino,2017,22.17670622,4.444387447,4.011478999,7.153933959,27.3
6073,California,San Diego,2017,14.94781749,3.539069581,3.411059069,6.495686059,17.8
6075,California,San Francisco,2017,12.73861466,3.170278484,3.30114294,7.010556622,13.5
6077,California,San Joaquin,2017,19.00725854,3.81191466,3.748978385,7.036859084,23.7
6079,California,San Luis Obispo,2017,13.75423292,3.837053786,3.699678009,5.802728793,14.6
6081,California,San Mateo,2017,10.88229108,3.004381496,2.989343246,6.69662225,9.7
6083,California,Santa Barbara,2017,18.36876778,3.861864007,3.650669412,5.992272738,20
6085,California,Santa Clara,2017,11.55228564,2.96657513,3.029473318,6.878771385,9
6087,California,Santa Cruz,2017,15.69215171,3.947698523,3.627041206,5.700179533,17.6
6089,California,Shasta,2017,14.41406768,3.905040142,4.025578863,5.940594059,26.5
6091,California,Sierra,2017,14.09686523,3.876131637,3.89436374,7.534246575,17.4
6093,California,Siskiyou,2017,16.74963675,4.262415376,4.158356063,7.483831229,31.4
6095,California,Solano,2017,15.53032179,3.720061484,3.479243373,6.857919783,15.8
6097,California,Sonoma,2017,13.97170914,3.526531815,3.5535547,5.696151467,14
6099,California,Stanislaus,2017,19.66680389,4.595791568,4.106390283,6.232973141,26.6
6101,California,Sutter,2017,18.04244194,4.159712171,3.77074113,6.097819183,24.4
6103,California,Tehama,2017,17.3341585,4.238666589,4.150466595,5.683080341,32.1
6105,California,Trinity,2017,16.25090092,4.289937689,4.177760155,6.195786865,32.1
6107,California,Tulare,2017,26.25216814,4.972389966,4.310709242,6.340804945,36.3
6109,California,Tuolumne,2017,13.40887205,3.67707313,3.758410592,5.009334163,21.6
6111,California,Ventura,2017,15.08224147,3.671398323,3.504633942,6.292895748,14.3
6113,California,Yolo,2017,16.25390207,3.851152202,3.758166541,5.540744175,16.8
6115,California,Yuba,2017,18.33960605,4.278579382,4.090524978,5.90487239,31.7
6001,California,Alameda,2018,12.68649669,3.050570055,3.345909087,7.23942562,12.4
6003,California,Alpine,2018,16.95788476,4.125162805,4.364018034,,33.9
6005,California,Amador,2018,13.0682275,3.348688458,3.595120876,7.239819005,16.8
6007,California,Butte,2018,16.27319333,4.016653352,4.147860252,5.957820738,22.9
6009,California,Calaveras,2018,12.84324303,3.438810976,3.683955947,5.050916497,20.4
6011,California,Colusa,2018,19.46637885,3.886364331,3.871948665,6.509695291,15.5
6013,California,Contra Costa,2018,12.14341659,3.16378102,3.403302166,6.838400966,10.3
6015,California,Del Norte,2018,17.51144731,4.025929997,4.076995583,5.309734513,30
6017,California,El Dorado,2018,11.29312585,3.356660912,3.738504263,6.480648065,10
6019,California,Fresno,2018,24.17111184,4.199334433,3.893113115,7.680039148,37
6021,California,Glenn,2018,20.68696217,4.16160668,4.080279614,6.225117626,23.2
6023,California,Humboldt,2018,16.48021378,4.155891863,4.279223942,5.593399213,21.4
6025,California,Imperial,2018,26.69976811,4.439603745,4.12036599,5.519600592,32.9
6027,California,Inyo,2018,14.15127758,3.47309076,3.832014225,7.513661202,18.8
6029,California,Kern,2018,24.0440379,4.057535422,4.081243352,7.140477176,31.1
6031,California,Kings,2018,21.71846518,4.15332132,3.840587503,6.379155436,21.4
6033,California,Lake,2018,18.34352422,4.19417095,4.371985908,6.490478041,29.9
6035,California,Lassen,2018,15.35417201,3.65573645,3.743691833,7.481412639,19.3
6037,California,Los Angeles,2018,18.80944795,3.658285068,3.640230338,7.104075409,23.4
6039,California,Madera,2018,22.85716595,4.246302011,4.227867765,6.363134319,30.3
6041,California,Marin,2018,11.0283905,2.988691328,3.295683469,5.974264706,8.5
6043,California,Mariposa,2018,13.90793104,3.608513681,3.847815726,6.4453125,27.6
6045,California,Mendocino,2018,17.38762025,4.128927102,4.147225949,6.021155411,26.8
6047,California,Merced,2018,24.6018615,4.349290221,4.329580085,6.370163678,27
6049,California,Modoc,2018,16.33431459,3.890919687,4.082404752,6.24,30.2
6051,California,Mono,2018,14.20798333,3.478548,3.662408717,7.163886163,14.8
6053,California,Monterey,2018,22.44785996,3.750611903,3.490194295,5.918140387,18.9
6055,California,Napa,2018,14.06497811,3.366684561,3.568570562,5.846422339,9.7
6057,California,Nevada,2018,11.58769921,3.205260396,3.639070881,5.823186871,13.7
6059,California,Orange,2018,15.29273031,3.46029603,3.347935868,6.356352595,14.5
6061,California,Placer,2018,10.73686938,3.057675865,3.410091698,5.65922066,7.6
6063,California,Plumas,2018,13.77933828,3.611642184,3.915894013,8.355795148,22.6
6065,California,Riverside,2018,19.16145726,3.845149206,3.560800842,6.566572398,20.9
6067,California,Sacramento,2018,15.44768872,3.673447458,3.8495857,6.839379742,23.1
6069,California,San Benito,2018,18.34787665,3.549886752,3.53863564,6.351981352,14.6
6071,California,San Bernardino,2018,19.74832113,4.065627021,3.931335167,7.213520771,25.7
6073,California,San Diego,2018,13.06946896,3.163519599,3.654774752,6.476706667,16.4
6075,California,San Francisco,2018,11.82611986,2.97139397,3.230278013,6.997014735,11.3
6077,California,San Joaquin,2018,20.41223831,3.895828051,4.000133286,7.146669663,19.1
6079,California,San Luis Obispo,2018,13.12974492,3.529517793,3.710454662,5.864164045,11.1
6081,California,San Mateo,2018,11.52598811,2.726213379,2.948115608,6.854074542,7.7
6083,California,Santa Barbara,2018,17.64525178,3.804696519,3.461194628,6.168051246,16.4
6085,California,Santa Clara,2018,11.58074444,2.895257355,2.900524331,6.943890078,10.4
6087,California,Santa Cruz,2018,16.36196586,3.687224411,3.88380073,5.625118573,15.2
6089,California,Shasta,2018,14.93934321,3.741690606,4.124843663,6.152477416,24.6
6091,California,Sierra,2018,13.57903003,3.502546202,3.803695042,6.707317073,20.4
6093,California,Siskiyou,2018,17.31187146,4.088932989,4.2493289,7.766387077,27.3
6095,California,Solano,2018,14.83002348,3.363441139,3.586918686,6.686392169,16.2
6097,California,Sonoma,2018,13.01988738,3.405705031,3.809263058,5.718126068,11.2
6099,California,Stanislaus,2018,18.83067866,3.850544435,3.932331114,6.282323176,19.1
6101,California,Sutter,2018,18.2410647,3.814746921,3.72483186,6.30562188,24.8
6103,California,Tehama,2018,18.73571049,4.234539993,4.29424039,6.020313943,28.8
6105,California,Trinity,2018,17.35416229,4.211290917,4.364050881,5.641025641,30.9
6107,California,Tulare,2018,26.61324539,4.450641432,4.017906681,6.484432913,32.7
6109,California,Tuolumne,2018,13.84355252,3.482128934,3.703577481,5.829457364,20.4
6111,California,Ventura,2018,14.94540915,3.296720285,3.497801833,6.167123288,12.5
6113,California,Yolo,2018,16.22094957,3.684050162,3.751757963,5.754800591,15.2
6115,California,Yuba,2018,18.17917144,4.073627033,4.016406982,6.101575359,23.8
