FIPS,State,County,Year,% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% Children in Poverty
6103,California,Tehama,2011,26.7,6.1,4.7,5.57,25.5
6105,California,Trinity,2011,,4.7,9.6,5.81,31.6
6107,California,Tulare,2011,25.4,4.7,4.8,5.94,30.7
6109,California,Tuolumne,2011,15.2,4.1,4.2,4.87,18.1
6111,California,Ventura,2011,14.2,3.6,3.9,6.46,11.6
6113,California,Yolo,2011,13.4,3.8,3.1,5.37,14.7
6115,California,Yuba,2011,20.1,3.7,3.7,6.77,23.9
6001,California,Alameda,2012,15.1,3.1,3.4,7.1,17.2
6003,California,Alpine,2012,,,,,29.2
6005,California,Amador,2012,17.5,4.2,4.1,4.8,17
6007,California,Butte,2012,14.2,4.3,4.3,5.9,25.1
6009,California,Calaveras,2012,14.2,4.1,2.9,6.3,18.3
6011,California,Colusa,2012,,3.8,1.7,4.8,22.9
6013,California,Contra Costa,2012,14.9,3.4,3.6,6.6,12.7
6015,California,Del Norte,2012,,6.6,5.5,5.3,30.6
6017,California,El Dorado,2012,10,2.6,2.8,6.5,11.6
6019,California,Fresno,2012,20.4,4,3.5,7.2,38.2
6021,California,Glenn,2012,,3.6,4.2,4.6,25.6
6023,California,Humboldt,2012,14,4.4,4.3,6.1,22
6025,California,Imperial,2012,30.9,4.8,3.8,6.1,31.8
6027,California,Inyo,2012,,2.9,5,8.2,20.5
6029,California,Kern,2012,24.4,4.4,4.1,7,30.3
6031,California,Kings,2012,22.6,4.4,3.8,6.4,29.7
6033,California,Lake,2012,21.8,4.4,3.9,6.2,29.8
6035,California,Lassen,2012,15.8,3.8,3.7,6,18.7
6037,California,Los Angeles,2012,22.4,3.8,3.7,7.2,24.5
6039,California,Madera,2012,31.3,5.7,4.5,6.3,31.7
6041,California,Marin,2012,8.1,3.4,2.3,6.4,10.9
6043,California,Mariposa,2012,,3.2,3.9,5.2,22.3
6045,California,Mendocino,2012,15.9,3.7,3.5,6.3,28.6
6047,California,Merced,2012,26.8,4.1,4.4,6.3,31.4
6049,California,Modoc,2012,,,,6.1,32.5
6051,California,Mono,2012,8.2,4,3.6,9,15
6053,California,Monterey,2012,22.6,3.3,3.8,6,25.9
6055,California,Napa,2012,14.7,3.7,4.1,6,14.7
6057,California,Nevada,2012,10.3,2.5,2.7,6.1,17.3
6059,California,Orange,2012,15.2,3.1,3.2,6.3,16.4
6061,California,Placer,2012,9.3,3.1,3.1,5.7,10.7
6063,California,Plumas,2012,6.8,3.2,3,6.2,22.3
6065,California,Riverside,2012,19.2,3.8,3.9,6.5,23.4
6067,California,Sacramento,2012,13.5,3.5,3.9,6.8,23.6
6069,California,San Benito,2012,17.6,3.1,2.6,5.7,17.4
6071,California,San Bernardino,2012,19.6,4.2,4,7,24.7
6073,California,San Diego,2012,15.5,3.4,3.4,6.5,19.1
6075,California,San Francisco,2012,16.4,3.1,3.3,7.1,14.7
6077,California,San Joaquin,2012,20,3.7,3.8,6.8,26
6079,California,San Luis Obispo,2012,11.2,3,3.7,6.2,15.1
6081,California,San Mateo,2012,14.1,3.2,2.8,6.6,8.5
6083,California,Santa Barbara,2012,21.8,3.6,2.8,6.4,21.7
6085,California,Santa Clara,2012,14.9,3.1,2.7,6.5,13.3
6087,California,Santa Cruz,2012,16.8,3.1,3.7,5.7,19
6089,California,Shasta,2012,12.4,3.8,3.9,6.2,25.4
6091,California,Sierra,2012,,,,,18.9
6093,California,Siskiyou,2012,19.4,4.3,4.5,7.4,30.7
6095,California,Solano,2012,16.3,4,3.5,7.1,17.9
6097,California,Sonoma,2012,13.9,3.8,3.9,5.5,14.8
6099,California,Stanislaus,2012,22.8,4,3.5,6.4,28.2
6101,California,Sutter,2012,24.6,3.8,2.5,5.7,23.5
6103,California,Tehama,2012,27.5,6.2,5.2,5.7,31.1
6105,California,Trinity,2012,,5.7,9.2,5.8,31.3
6107,California,Tulare,2012,26.5,5.1,5.1,6.1,33.6
6109,California,Tuolumne,2012,14.3,3.9,4,4.9,21.5
6111,California,Ventura,2012,14.3,3.6,3.6,6.5,15.3
6113,California,Yolo,2012,14.1,3.8,3,5.4,18.9
6115,California,Yuba,2012,22.2,3.6,4.6,6.6,28.2
6001,California,Alameda,2013,13.4,2.7,7.1,7.1,16.8
6003,California,Alpine,2013,,,,,29.3
6005,California,Amador,2013,11.9,2.9,4.9,4.9,19.3
6007,California,Butte,2013,11.8,3.5,5.8,5.8,28
6009,California,Calaveras,2013,9.7,1.9,5.9,5.9,20.4
6011,California,Colusa,2013,,1.3,5.3,5.3,19.5
6013,California,Contra Costa,2013,12.3,2.9,6.7,6.7,14.6
6015,California,Del Norte,2013,,,5.4,5.4,33.7
6017,California,El Dorado,2013,7,1.9,6.3,6.3,13.4
6019,California,Fresno,2013,19.1,3.5,7.4,7.4,35.4
6021,California,Glenn,2013,,1.6,4.7,4.7,26.6
6023,California,Humboldt,2013,9.9,3.6,6,6,26.3
6025,California,Imperial,2013,26.9,3.8,6.2,6.2,33.2
6027,California,Inyo,2013,,1.4,8.5,8.5,20.4
6029,California,Kern,2013,21.7,3.9,7.1,7.1,34.6
6031,California,Kings,2013,21.5,3.8,6.5,6.5,29.5
6033,California,Lake,2013,12.7,3.3,5.9,5.9,33.8
6035,California,Lassen,2013,10.5,2.6,6.3,6.3,19.3
6037,California,Los Angeles,2013,21.5,3.6,7.3,7.3,25.9
6039,California,Madera,2013,23.3,3,6.3,6.3,33.5
6041,California,Marin,2013,6.5,2.6,6.3,6.3,10.8
6043,California,Mariposa,2013,,1.7,5.1,5.1,24.3
6045,California,Mendocino,2013,12.4,2.7,6.3,6.3,31.4
6047,California,Merced,2013,18.3,3.6,6.4,6.4,35.8
