"","x"
"1",13
"2",17
"3",13
"4",16
"5",13
"6",12
"7",18
"8",11
"9",24
"10",16
"11",27
"12",14
"13",24
"14",22
"15",18
"16",15
"17",19
"18",23
"19",11
"20",14
"21",17
"22",25
"23",14
"24",22
"25",14
"26",12
"27",15
"28",11
"29",19
"30",15
"31",18
"32",20
"33",13
"34",12
"35",20
"36",13
"37",12
"38",18
"39",12
"40",16
"41",15
"42",17
"43",15
"44",13
"45",19
"46",18
"47",17
"48",27
"49",14
"50",15
"51",16
"52",18
