"","County","FIPS","Year","Arsenic","DEHP","Nitrates","Uranium","% Fair/Poor","Physically Unhealthy Days","Mentally Unhealthy Days","% LBW","% Children in Poverty","Population","LandArea","Density","LBL_Label","Poverty_Label","PoorHealthLabel"
"171","Modoc",6049,2016,4.3,NA,1.51513497989661,4.39,16.4,4.2,4.2,6.885758998,31.3,9469,3917.77,2.41693616521644,1,1,0
"172","Mono",6051,2010,3.55960948236372,1.5,0.23,1.92818555758684,NA,NA,NA,8,12,14017,3048.98,4.5972751543139,1,0,NA
"173","Mono",6051,2011,3.89704504094631,1.5,NA,1.17895950740973,9.7,4.4,3.6,8.78,14.2,14283,3048.98,4.68451744517839,1,0,0
"174","Mono",6051,2012,5.40207387536112,1.5,0.21,19.57,8.2,4,3.6,9,15,14122,3048.98,4.63171290070778,1,0,0
"175","Mono",6051,2013,2.78443064641313,NA,0.331744663382594,23.781320754717,3,1.8,8.8,8.8,16.2,13902,3048.98,4.55955762254918,1,0,0
"176","Mono",6051,2014,4.23761441970844,1.5,0.0696765320717351,2.32110041265475,NA,NA,3.1,8.1,17,13924,3048.98,4.56677315036504,1,0,NA
"177","Mono",6051,2015,5.66863809194608,1.5,0.215416843896214,1.36721628382988,NA,NA,3.1,7.864164433,18.7,13818,3048.98,4.53200742543408,1,0,NA
"178","Mono",6051,2016,3.55726696115075,NA,0.27835339638865,29.5327586206897,13.9,3.6,3.6,7.943925234,16.2,13785,3048.98,4.52118413371029,1,0,0
"179","Monterey",6053,2010,1.8118882435622,0.739235218508997,3.16095919420804,3.38849022905535,23,3.4,3.4,6,17,414915,3280.59,126.475725403052,0,0,1
"180","Monterey",6053,2011,1.83025137921251,0.421207518511487,3.22098268247516,2.74876880793369,21.5,3.6,3.6,5.92,18.1,419417,3280.59,127.848039529475,0,0,1
"181","Monterey",6053,2012,2.43545354915842,1.33321576871623,2.85538097912571,3.42319907013835,22.6,3.3,3.8,6,25.9,423881,3280.59,129.208770373622,0,1,1
